Time,TP PRELAZ 056_A+_001,TP PRELAZ 056_A-_101,TP CELJSKA CESTA 2694_A+_201,TP CELJSKA CESTA 2694_A-_301,TP BENCINSKI SERVIS 3 2781_A+_401,TP BENCINSKI SERVIS 3 2781_A-_501
,kW,kW,kW,kW,kW,kW
02/01/2023 09:45,0,0,52.72,0,16.908,0
02/01/2023 10:00,0,0,52.88,0,17.664,0
02/01/2023 10:15,0,0,55.12,0,16.8,0
02/01/2023 10:30,0,0,54.72,0,16.656,0
02/01/2023 10:45,0,0,58.72,0,14.772,0
02/01/2023 11:00,0,0,56.48,0,16.284,0
02/01/2023 11:15,0,0,52.48,0,15.372,0
02/01/2023 11:30,0,0,54.4,0,18.816,0
02/01/2023 11:45,0,0,54.32,0,14.124,0
02/01/2023 12:00,0,0,59.52,0,18.144,0
02/01/2023 12:15,0,0,58.72,0,18.204,0
02/01/2023 12:30,0,0,65.68,0,17.76,0
02/01/2023 12:45,0,0,65.76,0,20.004,0
02/01/2023 13:00,0,0,84.08,0,21.744,0
02/01/2023 13:15,0,0,84.72,0,22.608,0
02/01/2023 13:30,0,0,76,0,16.08,0
02/01/2023 13:45,0,0,72.16,0,18.372,0
02/01/2023 14:00,0,0,63.6,0,18.396,0
02/01/2023 14:15,0,0,55.92,0,17.472,0
02/01/2023 14:30,0,0,53.36,0,16.704,0
02/01/2023 14:45,0,0,52.16,0,18.18,0
02/01/2023 15:00,0,0,49.68,0,16.32,0
02/01/2023 15:15,0,0,50.72,0,18.816,0
02/01/2023 15:30,0,0,54.64,0,19.62,0
02/01/2023 15:45,0,0,52.56,0,19.14,0
02/01/2023 16:00,0,0,49.6,0,19.716,0
02/01/2023 16:15,0,0,52.8,0,20.436,0
02/01/2023 16:30,0,0,62.32,0,20.868,0
02/01/2023 16:45,0,0,65.6,0,22.02,0
02/01/2023 17:00,0,0,62.24,0,23.928,0
02/01/2023 17:15,0,0,63.04,0,26.436,0
02/01/2023 17:30,0,0,62.88,0,25.776,0
02/01/2023 17:45,0,0,57.36,0,16.992,0
02/01/2023 18:00,0,0,54.72,0,14.436,0
02/01/2023 18:15,0,0,53.92,0,12.192,0
02/01/2023 18:30,0,0,55.6,0,12.54,0
02/01/2023 18:45,0,0,58.96,0,12.084,0
02/01/2023 19:00,0,0,62,0,10.92,0
02/01/2023 19:15,0,0,56.88,0,9.732,0
02/01/2023 19:30,0,0,60.64,0,11.7,0
02/01/2023 19:45,0,0,61.6,0,11.376,0
02/01/2023 20:00,0,0,63.44,0,11.208,0
02/01/2023 20:15,0,0,57.04,0,10.584,0
02/01/2023 20:30,0,0,58.4,0,10.452,0
02/01/2023 20:45,0,0,57.04,0,10.296,0
02/01/2023 21:00,0,0,57.2,0,10.812,0
02/01/2023 21:15,0,0,59.92,0,10.548,0
02/01/2023 21:30,0,0,59.36,0,9.984,0
02/01/2023 21:45,0,0,59.36,0,10.704,0
02/01/2023 22:00,0,0,55.52,0,9.96,0
02/01/2023 22:15,0,0,53.76,0,9.252,0
02/01/2023 22:30,0,0,55.84,0,9.348,0
02/01/2023 22:45,0,0,51.52,0,9.876,0
02/01/2023 23:00,0,0,50.32,0,8.328,0
02/01/2023 23:15,0,0,45.6,0,8.592,0
02/01/2023 23:30,0,0,42.48,0,9.204,0
02/01/2023 23:45,0,0,42.64,0,7.908,0
03/01/2023 00:00,0,0,45.68,0,7.956,0
03/01/2023 00:15,0,0,47.68,0,8.352,0
03/01/2023 00:30,0,0,45.6,0,8.784,0
03/01/2023 00:45,0,0,42.88,0,7.956,0
03/01/2023 01:00,0,0,42.64,0,7.392,0
03/01/2023 01:15,0,0,40.56,0,7.824,0
03/01/2023 01:30,0,0,40.64,0,7.86,0
03/01/2023 01:45,0,0,40.4,0,7.248,0
03/01/2023 02:00,0,0,40.64,0,6.948,0
03/01/2023 02:15,0,0,42,0,7.656,0
03/01/2023 02:30,0,0,41.28,0,7.284,0
03/01/2023 02:45,0,0,42.56,0,7.38,0
03/01/2023 03:00,0,0,42.4,0,7.992,0
03/01/2023 03:15,0,0,43.44,0,8.124,0
03/01/2023 03:30,0,0,48.08,0,8.52,0
03/01/2023 03:45,0,0,45.6,0,8.376,0
03/01/2023 04:00,0,0,47.44,0,7.56,0
03/01/2023 04:15,0,0,42.64,0,6.936,0
03/01/2023 04:30,0,0,41.84,0,7.38,0
03/01/2023 04:45,0,0,41.12,0,7.944,0
03/01/2023 05:00,0,0,41.76,0,7.848,0
03/01/2023 05:15,0,0,40.32,0,8.796,0
03/01/2023 05:30,0,0,41.76,0,10.92,0
03/01/2023 05:45,0,0,43.36,0,9.276,0
03/01/2023 06:00,0,0,41.68,0,14.784,0
03/01/2023 06:15,0,0,43.44,0,14.208,0
03/01/2023 06:30,0,0,41.76,0,15.624,0
03/01/2023 06:45,0,0,48.48,0,16.176,0
03/01/2023 07:00,0,0,50.24,0,15.168,0
03/01/2023 07:15,0,0,58.08,0,15.096,0
03/01/2023 07:30,0,0,57.68,0,14.64,0
03/01/2023 07:45,0,0,57.2,0,13.404,0
03/01/2023 08:00,0,0,60.64,0,12.96,0
03/01/2023 08:15,0,0,73.36,0,16.404,0
03/01/2023 08:30,0,0,72.72,0,16.14,0
03/01/2023 08:45,0,0,71.12,0,13.296,0
03/01/2023 09:00,0,0,68.08,0,18.468,0
03/01/2023 09:15,0,0,73.84,0,19.824,0
03/01/2023 09:30,0,0,69.28,0,17.676,0
03/01/2023 09:45,0,0,69.12,0,11.964,0
03/01/2023 10:00,0,0,64.56,0,15.384,0
03/01/2023 10:15,0,0,69.52,0,14.328,0
03/01/2023 10:30,0,0,79.84,0,14.232,0
03/01/2023 10:45,0,0,74.4,0,11.292,0
03/01/2023 11:00,0,0,70.48,0,13.188,0
03/01/2023 11:15,0,0,71.28,0,13.248,0
03/01/2023 11:30,0,0,60.24,0,13.38,0
03/01/2023 11:45,0,0,66,0,12.852,0
03/01/2023 12:00,0,0,66.8,0,15.336,0
03/01/2023 12:15,0,0,71.84,0,14.892,0
03/01/2023 12:30,0,0,71.84,0,12.648,0
03/01/2023 12:45,0,0,68.32,0,12.42,0
03/01/2023 13:00,0,0,64.08,0,12.768,0
