n_repeats,n_split,DesisionTreeRegressor_mse,SVR_mse,KNeighborsRegressor_mse,MLPRegressor_mse
41,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.5009216707037882
42,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.0729056720002372
42,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.46032855826933733
42,2,0.5492037699343015,0.38745168748784153,0.4401003411420272,2.524178932827041
42,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.4775184892911261
42,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.6808452782008017
43,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.999357875043063
43,1,0.5121787889089747,0.3260534657211705,0.49470205810673534,0.4946768191681141
43,2,0.5492037699343015,0.38745168748784153,0.4401003411420272,2.3897609032608353
43,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5961687338600918
43,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.583958621523486
44,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.0793822806900197
44,1,0.5237313099799545,0.3260534657211705,0.49470205810673534,0.4387554675802823
44,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,1.5017127346835735
44,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5762132641107405
44,4,0.6039250518585888,0.4177098918941251,0.5106202781166117,0.5510665931139864
45,0,0.5366302390801685,0.3101147889709212,0.3416604662610591,0.5473974287240244
45,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.4924877233876841
45,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,0.8924403773641013
45,3,0.5027506524193422,0.32220052426636203,0.49517475127173793,0.4605225956966395
45,4,0.6039250518585886,0.4177098918941251,0.5106202781166117,0.5111555899693212
46,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.538054084015202
46,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.4265277048924238
46,2,0.5492037699343016,0.38745168748784153,0.4401003411420272,0.8028753830180608
46,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.43569688217733166
46,4,0.6032648025512883,0.4177098918941251,0.5106202781166117,0.48350059386464694
47,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,0.607770508231101
47,1,0.5121787889089748,0.3260534657211705,0.49470205810673534,0.41351609506822645
47,2,0.5423324517107679,0.38745168748784153,0.4401003411420272,26.112411806129703
47,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.6332608053460801
47,4,0.6032648025512883,0.4177098918941251,0.5106202781166117,0.7086555683571956
48,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,1.6833345663079071
48,1,0.512178788908975,0.3260534657211705,0.49470205810673534,0.4439985454312523
48,2,0.5423324517107678,0.38745168748784153,0.4401003411420272,1.0668788544164636
48,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.6949551419623958
48,4,0.6032648025512883,0.4177098918941251,0.5106202781166117,0.6392013132028969
49,0,0.5366302390801684,0.3101147889709212,0.3416604662610591,0.4342678344350259
49,1,0.5121787889089748,0.3260534657211705,0.49470205810673534,0.5253372936768734
49,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,1.2637768718282403
49,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5062484592414929
49,4,0.6039250518585889,0.4177098918941251,0.5106202781166117,0.6016067301920033
50,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.5814088111667841
50,1,0.5121787889089747,0.3260534657211705,0.49470205810673534,0.5866930981945305
50,2,0.5562222648395021,0.38745168748784153,0.4401003411420272,2.540424059834817
50,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5592904881331086
50,4,0.6032648025512879,0.4177098918941251,0.5106202781166117,0.6764414443158624
51,0,0.5366302390801685,0.3101147889709212,0.3416604662610591,3.146161585251859
51,1,0.5121787889089746,0.3260534657211705,0.49470205810673534,0.47413509301718976
51,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,0.5318448160472845
51,3,0.5027506524193422,0.32220052426636203,0.49517475127173793,0.5074128467499439
51,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.511627074100411
52,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,0.6550287143779926
52,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.4580056941877642
