placement,scenario,SerialNo,Timestamp,roll,pitch,yaw,XCalibAccel,YCalibAccel,ZCalibAccel,XCalibGyro,YCalibGyro,ZCalibGyro,XCalibMag,YCalibMag,ZCalibMag,XLinAccel,YLinAccel,ZLinAccel,quat0,quat1,quat2,quat3,quat_check,magnitude,timestamp_2,time,label
a,s01,35311,353110,169.71396579479224,11.24594652611351,97.1536447526399,0.179077,0.97937,-0.089722,-2.5262830000000003,1.054764,0.393867,-28.460068,-32.105774,6.496246,-0.01593,0.002502,-0.002075,0.662342,0.737442,-1e-05,0.132219,1.0,0.9996420389884572,1230,1548162598461,001_Stand
a,s01,35312,353120,169.71065414719925,11.252077389212925,97.13282702183464,0.176636,0.990112,-0.08190900000000001,-2.160072,0.413895,1.065254,-29.210068,-32.405762,5.746246,-0.018478,0.013229,0.0053560000000000005,0.662478,0.73731,-5.1e-05,0.132277,1.0,1.0090743943441436,1240,1548162598470,001_Stand
a,s01,35313,353130,169.69848993351695,11.263873640574616,97.11946884345525,0.198608,0.9823,-0.086792,-1.610756,1.329422,1.065254,-29.21788,-32.406738,5.745758,0.003281,0.005432,0.000153,0.662566,0.737205,-6.3e-05,0.132422,1.0,1.0059280684661305,1250,1548162598480,001_Stand
a,s01,35314,353140,169.68745308804117,11.269117231441754,97.1051762996696,0.198608,0.989136,-0.083374,-1.488686,1.146317,0.424385,-28.167877,-32.256744,6.045761,0.003204,0.012253,0.003281,0.662659,0.737104,-4.3e-05,0.132519,1.0,1.0123173356393735,1260,1548162598489,001_Stand
a,s01,35315,353150,169.67780769956912,11.280068412948111,97.09241405227618,0.18396,0.991089,-0.08142100000000001,-1.397133,1.085281,1.37043,-29.067871000000004,-33.006744,6.645767,-0.011642,0.014221,0.004944,0.662742,0.737006,-6.500000000000001e-05,0.132644,1.0,1.0113001862760629,1270,1548162598499,001_Stand
a,s01,35316,353160,169.67703366595424,11.288205356177166,97.07521567050131,0.189819,0.999389,-0.071655,-1.610756,0.108719,1.065254,-29.067871000000004,-33.006744,6.645767,-0.00592,0.022522,0.014374,0.662855,0.736895,-0.00013000000000000002,0.1327,1.0,1.0197764780122165,1280,1548162598509,001_Stand
a,s01,35317,353170,169.6743443027331,11.30345707061328,97.06560402585087,0.197632,0.978393,-0.089233,-1.397133,0.413895,1.523018,-29.21788,-33.456741,6.195755,0.001633,0.001556,-0.003433,0.6629189999999999,0.736817,-0.000218,0.132812,1.0,1.002134620778067,1290,1548162598518,001_Stand
a,s01,35318,353180,169.67090998218123,11.313126848817593,97.05697076705114,0.196167,0.991089,-0.093628,-1.244545,0.47493,1.034737,-29.067871000000004,-31.956741,5.595764,0.0,0.014266999999999997,-0.008011,0.662976,0.736751,-0.000266,0.132893,1.0,1.0146453075799444,1300,1548162598528,001_Stand
a,s01,35319,353190,169.6704624271003,11.320312085916301,97.04089491021395,0.178589,0.973999,-0.090698,-1.946449,0.169754,1.126289,-29.067871000000004,-31.956741,5.595764,-0.0177,-0.002823,-0.005386,0.663081,0.736648,-0.000326,0.132941,1.0,0.9943813202821138,1310,1548162598537,001_Stand
a,s01,35320,353200,169.66461696858784,11.333007926564417,97.03543034197641,0.191284,0.987671,-0.092651,-0.969887,0.749588,1.431465,-29.21788,-32.10675,6.945755,-0.005219,0.01088,-0.007506999999999998,0.663117,0.736594,-0.000374,0.133055,1.0,1.010281040452606,1320,1548162598547,001_Stand
