,0
min. rel. vla. [%]__variation_coefficient,0.000305488605083096
rel. vla. [%]__approximate_entropy__m_2__r_0.5,0.00030221680447639545
povp. rel. vla. [%]__lempel_ziv_complexity__bins_10,0.0003014449142812681
"globalno sev. [W/m2]__fft_coefficient__attr_""real""__coeff_9",0.0003001381407301205
"globalno sev. [W/m2]__linear_trend__attr_""stderr""",0.0002980592685726417
"rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.00029705444986479526
povp. T [°C]__time_reversal_asymmetry_statistic__lag_2,0.0002956543675836446
globalno sev. [W/m2]__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.00029561733597324166
"povp. rel. vla. [%]__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.0002952524226811571
T [°C]__approximate_entropy__m_2__r_0.3,0.0002941466450815937
"min. T [°C]__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.0002927991395657253
"min. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.000292087306029581
T [°C]__kurtosis,0.0002915076040256106
energija uvb [mW/m2]__benford_correlation,0.00029036750250327037
"globalno sev. [W/m2]__fft_coefficient__attr_""angle""__coeff_2",0.00028805157354318305
rel. vla. [%]__sum_of_reoccurring_data_points,0.000285769408681892
"energija uvb [mW/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.0002856124910322586
"globalno sev. [W/m2]__fft_coefficient__attr_""angle""__coeff_8",0.00028358972812340326
"povp. rel. vla. [%]__fft_coefficient__attr_""real""__coeff_4",0.0002829034411275398
max. rel. vla. [%]__partial_autocorrelation__lag_8,0.0002822806604179502
"energija uvb [mW/m2]__fft_coefficient__attr_""abs""__coeff_6",0.0002816082781131954
"povp. T [°C]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.00028031062284283024
"T [°C]__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.0002789929648583221
"min. rel. vla. [%]__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.00027897610128075506
max. rel. vla. [%]__permutation_entropy__dimension_5__tau_1,0.0002770458722180952
"min. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.00027594872637014343
energija uvb [mW/m2]__autocorrelation__lag_8,0.0002746322977940693
energija uvb [mW/m2]__ar_coefficient__coeff_1__k_10,0.0002738128409743764
"globalno sev. [W/m2]__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.0002724955667719462
"povp. T [°C]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.0002697740490750785
"povp. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0002671841365091183
"max. rel. vla. [%]__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.0002666327028251288
min. T [°C]__permutation_entropy__dimension_4__tau_1,0.00026645976333855353
"globalno sev. [W/m2]__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.0002609488374162994
rel. vla. [%]__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.0002592657547040864
"T [°C]__linear_trend__attr_""stderr""",0.0002592536246888037
"rel. vla. [%]__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.00025899314440227855
week_number__ar_coefficient__coeff_10__k_10,0.00025879104460512
T [°C]__spkt_welch_density__coeff_8,0.0002587576279935214
min. T [°C]__permutation_entropy__dimension_3__tau_1,0.00025732475323933177
"max. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",0.0002571124385268615
"povp. rel. vla. [%]__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.0002560359505466623
globalno sev. [W/m2]__first_location_of_maximum,0.0002556184910316425
"povp. T [°C]__fft_coefficient__attr_""angle""__coeff_7",0.0002547801763994594
"week_number__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",0.00025453318699379456
min. rel. vla. [%]__approximate_entropy__m_2__r_0.1,0.00025428447344343845
"globalno sev. [W/m2]__fft_coefficient__attr_""angle""__coeff_9",0.00025262374258070526
"povp. rel. vla. [%]__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.00025111732668187575
"max. rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0002502871750168982
max. rel. vla. [%]__ar_coefficient__coeff_5__k_10,0.0002499209441322882
povp. T [°C]__ar_coefficient__coeff_6__k_10,0.0002496221150149492
"povp. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0002491620581077356
"povp. rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.00024898028493281697
"globalno sev. [W/m2]__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.0002488972063032601
energija uvb [mW/m2]__time_reversal_asymmetry_statistic__lag_3,0.00024831633846373295
"min. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.00024695958543179114
povp. T [°C]__partial_autocorrelation__lag_8,0.00024675512920468523
globalno sev. [W/m2]__ar_coefficient__coeff_4__k_10,0.0002461000453561033
"povp. rel. vla. [%]__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",0.0002459002181032844
"globalno sev. [W/m2]__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.00024502602253524295
max. T [°C]__root_mean_square,0.00024349712622720226
"povp. T [°C]__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",0.00024208881625836171
"globalno sev. [W/m2]__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.0002408624994994484
energija uvb [mW/m2]__ar_coefficient__coeff_4__k_10,0.00024043646618386176
"globalno sev. [W/m2]__fft_coefficient__attr_""angle""__coeff_4",0.00024003138009776162
"max. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.00023899504207854506
max. T [°C]__mean_abs_change,0.00023752001164902266
"max. rel. vla. [%]__fft_coefficient__attr_""angle""__coeff_3",0.00023555605403301726
"globalno sev. [W/m2]__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",0.00023511391228347333
"min. T [°C]__fft_coefficient__attr_""angle""__coeff_6",0.00023425806645735618
"T [°C]__fft_coefficient__attr_""angle""__coeff_9",0.00023288776656814735
min. T [°C]__cid_ce__normalize_False,0.00023266089723248122
"globalno sev. [W/m2]__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",0.00023206723060239035
"globalno sev. [W/m2]__fft_coefficient__attr_""angle""__coeff_3",0.00023105579940668026
"max. T [°C]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.00023060796245836149
"max. rel. vla. [%]__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.00022924597456140333
energija uvb [mW/m2]__autocorrelation__lag_7,0.00022893883060003275
"min. rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.00022883288376367053
max. rel. vla. [%]__permutation_entropy__dimension_4__tau_1,0.00022761146995629826
"energija uvb [mW/m2]__fft_coefficient__attr_""imag""__coeff_4",0.00022756618030126606
"globalno sev. [W/m2]__linear_trend__attr_""rvalue""",0.00022621290715949067
"globalno sev. [W/m2]__fft_coefficient__attr_""imag""__coeff_4",0.0002253974569794262
povp. T [°C]__spkt_welch_density__coeff_2,0.00022538666799510804
"povp. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",0.00022504694871126646
"max. rel. vla. [%]__agg_autocorrelation__f_agg_""var""__maxlag_40",0.00022444696130733807
"povp. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.00022375208879794783
"globalno sev. [W/m2]__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.0002229972855652182
"max. T [°C]__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.00022164855916394273
max. T [°C]__ar_coefficient__coeff_2__k_10,0.00022107260698148157
"rel. vla. [%]__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",0.00022104375242839862
"energija uvb [mW/m2]__fft_coefficient__attr_""abs""__coeff_10",0.0002170250235225821
globalno sev. [W/m2]__partial_autocorrelation__lag_3,0.00021611831602083874
min. rel. vla. [%]__ar_coefficient__coeff_5__k_10,0.00021538346578502942
"rel. vla. [%]__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",0.0002150025835531741
povp. rel. vla. [%]__number_cwt_peaks__n_5,0.00021434223078804527
"globalno sev. [W/m2]__fft_coefficient__attr_""imag""__coeff_6",0.00021320316281422418
globalno sev. [W/m2]__maximum,0.0002127249006587521
globalno sev. [W/m2]__spkt_welch_density__coeff_5,0.00021261945278034178
